policy,rationale,threshold,precision,recall,f1,false_positive_rate,specificity,flagged_rate,cost,normalized_cost,tp,fp,tn,fn
cost_optimized,Minimizes expected business cost under the configured false-positive and false-negative costs.,0.3,0.5138888888888888,0.961038961038961,0.6696832579185519,0.11235955056179775,0.8876404494382022,0.2057142857142857,100.0,0.14285714285714285,74,70,553,3
balanced_f1,Maximizes F1 to balance precision and recall.,0.45,0.6504854368932039,0.8701298701298701,0.7444444444444445,0.05778491171749599,0.942215088282504,0.14714285714285713,136.0,0.19428571428571428,67,36,587,10
high_recall,Maintains recall of at least 95% while minimizing cost.,0.3,0.5138888888888888,0.961038961038961,0.6696832579185519,0.11235955056179775,0.8876404494382022,0.2057142857142857,100.0,0.14285714285714285,74,70,553,3
high_precision,Maintains precision of at least 70% while preserving as much recall as possible.,0.55,0.725,0.7532467532467533,0.7388535031847133,0.03531300160513644,0.9646869983948636,0.11428571428571428,212.0,0.3028571428571429,58,22,601,19
review_capacity,Keeps the flagged/review rate at or below 10%.,0.6,0.75,0.6623376623376623,0.7034482758620688,0.027287319422150885,0.9727126805778491,0.09714285714285714,277.0,0.39571428571428574,51,17,606,26
